id,date,account_name,description,amount,before_category,after_category,before_source,after_source,winning_rule_id,winning_rule_name
fd8f2d8c-fa4d-4f7a-9d11-b96e05350c4c,2019-02-15,BMO CAD Credit Card,NATIONALCARRENTAL TORONTO ON,-238.36,Auto & Transportation,Travel,import_default,rule_manual,1644,
bc9c011e-e938-4b18-a5a7-38ca5d2f959b,2019-03-01,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-56.48,Travel,Shopping & Home,import_default,rule_manual,1889,
4b40ae38-cbcf-4fce-b910-7c3afdf40aad,2019-03-10,BMO CAD Credit Card,TIMHORTONS#2190#QTH EDMONTON AB,-5.75,Auto & Transportation,Dining,import_default,rule_manual,1707,
7451dddd-2198-4b04-9183-0832f52ed604,2019-04-02,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-14.68,Travel,Shopping & Home,import_default,rule_manual,1889,
3bade77c-fbcc-45e6-a428-26eb517d996c,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-22.59,Travel,Shopping & Home,import_default,rule_manual,1889,
4b8bc706-508b-496b-9c6d-fa5350a10a7c,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-45.2,Travel,Shopping & Home,import_default,rule_manual,1889,
ff674cfa-3455-466d-a604-6bde0a8875da,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,27.12,Travel,Shopping & Home,import_default,rule_manual,1889,
b793bcdf-bf06-4d83-99e0-4ff7902bb419,2019-04-22,BMO CAD Credit Card,COSTCOGASW 1263 NEPEAN ON,-47.12,Auto & Transportation,Costco,import_default,rule_manual,1887,
42f3a23d-a8d5-4a30-833c-db6b3fc8aa8a,2019-04-29,BMO CAD Credit Card,COSTCOGASW 1263 NEPEAN ON,-57,Auto & Transportation,Costco,import_default,rule_manual,1887,
4ed34995-9f5b-420e-bd1b-146c350084d2,2019-05-04,BMO CAD Credit Card,WINNERS 342 BARRHAVEN ON,-175.09,Travel,Shopping & Home,import_default,rule_manual,1765,
b151fa1a-3fe7-4404-9886-55b48516d863,2019-06-02,BMO CAD Credit Card,NATIONALCARRENTAL RICHMOND BC,-210.4,Auto & Transportation,Travel,import_default,rule_manual,1644,
